"Date","Price","Open","High","Low","Vol.","Change %"
"12-03-2024","5,920,078","5,966,523","6,036,175","5,728,973","","-0.81%"
"11-03-2024","5,968,428","5,705,533","6,024,968","5,603,470","","4.60%"
"10-03-2024","5,705,757","5,653,983","5,783,002","5,638,015","","0.87%"
"09-03-2024","5,656,323","5,638,179","5,671,559","5,617,258","","0.29%"
"08-03-2024","5,640,236","5,527,817","5,775,328","5,487,720","","2.03%"
"07-03-2024","5,527,817","5,471,588","5,619,636","5,431,537","","1.04%"
"06-03-2024","5,470,825","5,288,239","5,604,085","5,206,989","","3.58%"
"05-03-2024","5,281,674","5,657,665","5,708,630","4,973,700","","-6.68%"
"04-03-2024","5,659,986","5,226,493","5,678,785","5,210,369","","8.22%"
"03-03-2024","5,229,845","5,135,243","5,237,576","5,089,622","","1.84%"
"02-03-2024","5,135,243","5,168,305","5,172,275","5,103,491","","-0.68%"
"01-03-2024","5,170,624","5,071,696","5,227,076","5,036,433","","1.91%"
"29-02-2024","5,073,948","5,176,916","5,279,115","5,017,673","","-1.98%"
"28-02-2024","5,176,321","4,731,160","5,296,428","4,699,779","","9.40%"
"27-02-2024","4,731,766","4,513,558","4,768,902","4,512,017","","4.82%"
"26-02-2024","4,514,234","4,287,393","4,548,782","4,221,497","","5.28%"
"25-02-2024","4,287,704","4,273,760","4,305,474","4,251,532","","0.33%"
"24-02-2024","4,273,760","4,205,341","4,283,944","4,192,858","","1.64%"
"23-02-2024","4,204,942","4,250,203","4,271,078","4,188,058","","-1.14%"
"22-02-2024","4,253,584","4,300,320","4,312,193","4,223,037","","-1.12%"
"21-02-2024","4,301,907","4,328,563","4,339,655","4,202,556","","-0.63%"
"20-02-2024","4,329,157","4,298,378","4,389,978","4,211,539","","0.70%"
"19-02-2024","4,299,145","4,326,641","4,355,686","4,293,045","","-0.62%"
"18-02-2024","4,326,145","4,287,148","4,345,818","4,251,060","","0.91%"
"17-02-2024","4,287,145","4,327,117","4,330,331","4,203,747","","-0.92%"
"16-02-2024","4,327,117","4,307,056","4,362,174","4,283,990","","0.46%"
"15-02-2024","4,307,119","4,301,246","4,383,765","4,259,053","","0.20%"
"14-02-2024","4,298,596","4,127,924","4,317,646","4,095,217","","4.11%"
"13-02-2024","4,128,894","4,141,776","4,174,655","4,021,221","","-0.38%"
"12-02-2024","4,144,835","4,009,613","4,171,679","3,962,240","","3.40%"
"11-02-2024","4,008,354","3,964,206","4,028,478","3,950,150","","1.11%"
"10-02-2024","3,964,259","3,911,696","3,997,087","3,889,449","","1.34%"
"09-02-2024","3,911,700","3,758,586","3,991,177","3,754,187","","4.08%"
"08-02-2024","3,758,192","3,681,413","3,782,384","3,679,158","","2.13%"
"07-02-2024","3,679,943","3,579,123","3,680,861","3,553,039","","2.82%"
"06-02-2024","3,579,123","3,549,918","3,602,955","3,535,151","","0.82%"
"05-02-2024","3,549,918","3,534,360","3,616,102","3,510,176","","0.42%"
"04-02-2024","3,535,090","3,569,903","3,578,956","3,517,163","","-0.97%"
"03-02-2024","3,569,870","3,585,949","3,600,531","3,559,656","","-0.45%"
"02-02-2024","3,585,949","3,573,607","3,607,939","3,534,866","","0.35%"
"01-02-2024","3,573,344","3,537,031","3,587,783","3,479,977","","1.02%"
"31-01-2024","3,537,263","3,567,773","3,632,363","3,516,425","","-0.90%"
"30-01-2024","3,569,430","3,600,766","3,638,521","3,549,579","","-0.84%"
"29-01-2024","3,599,801","3,493,688","3,601,680","3,477,187","","3.02%"
"28-01-2024","3,494,431","3,500,964","3,559,038","3,465,145","","-0.19%"
"27-01-2024","3,500,964","3,475,359","3,506,730","3,445,057","","0.75%"
"26-01-2024","3,475,065","3,321,036","3,509,309","3,310,637","","4.62%"
"25-01-2024","3,321,655","3,331,279","3,348,472","3,287,520","","-0.28%"
"24-01-2024","3,330,968","3,319,107","3,370,416","3,285,164","","0.39%"
"23-01-2024","3,318,140","3,288,415","3,338,992","3,205,139","","0.94%"
"22-01-2024","3,287,107","3,456,363","3,464,921","3,280,707","","-4.88%"
"21-01-2024","3,455,858","3,465,331","3,480,383","3,449,843","","-0.27%"
"20-01-2024","3,465,331","3,462,256","3,478,744","3,445,407","","0.11%"
"19-01-2024","3,461,596","3,433,952","3,504,844","3,350,269","","0.79%"
"18-01-2024","3,434,359","3,558,421","3,569,293","3,385,529","","-3.50%"
"17-01-2024","3,559,068","3,584,185","3,590,847","3,512,050","","-0.75%"
"16-01-2024","3,586,101","3,523,461","3,618,877","3,497,368","","1.83%"
"15-01-2024","3,521,576","3,460,425","3,590,905","3,457,526","","1.61%"
"14-01-2024","3,465,723","3,550,987","3,569,634","3,459,755","","-2.38%"
"13-01-2024","3,550,347","3,550,159","3,584,180","3,517,674","","-0.04%"
"12-01-2024","3,551,807","3,849,942","3,862,201","3,472,582","","-7.77%"
"11-01-2024","3,851,208","3,871,734","4,060,003","3,790,103","","-0.50%"
"10-01-2024","3,870,478","3,833,440","3,952,863","3,688,633","","0.89%"
"09-01-2024","3,836,176","3,899,776","3,978,439","3,772,669","","-1.61%"
"08-01-2024","3,898,827","3,654,687","3,918,462","3,595,884","","6.70%"
"07-01-2024","3,653,954","3,653,376","3,696,400","3,629,297","","0.03%"
"06-01-2024","3,652,761","3,668,570","3,672,770","3,606,798","","-0.37%"
"05-01-2024","3,666,473","3,675,492","3,685,820","3,536,922","","-0.23%"
"04-01-2024","3,674,788","3,565,830","3,726,203","3,549,802","","3.01%"
"03-01-2024","3,567,454","3,744,696","3,788,105","3,399,669","","-4.64%"
"02-01-2024","3,741,000","3,675,864","3,822,958","3,673,406","","1.83%"
"01-01-2024","3,673,913","3,518,181","3,677,268","3,509,109","","4.38%"
"31-12-2023","3,519,852","3,505,199","3,568,438","3,491,251","","0.43%"
"30-12-2023","3,504,950","3,499,719","3,543,478","3,454,208","","0.12%"
"29-12-2023","3,500,649","3,528,510","3,586,451","3,445,161","","-0.80%"
"28-12-2023","3,528,946","3,616,791","3,644,420","3,512,991","","-2.42%"
"27-12-2023","3,616,398","3,537,704","3,638,460","3,505,095","","2.27%"
"26-12-2023","3,536,096","3,624,337","3,625,713","3,476,917","","-2.44%"
"25-12-2023","3,624,679","3,574,423","3,641,933","3,554,712","","1.39%"
"24-12-2023","3,575,088","3,635,342","3,654,020","3,554,731","","-1.66%"
"23-12-2023","3,635,255","3,656,518","3,658,704","3,603,398","","-0.58%"
"22-12-2023","3,656,518","3,648,066","3,694,263","3,608,910","","0.23%"
"21-12-2023","3,648,066","3,636,291","3,681,768","3,601,937","","0.36%"
"20-12-2023","3,635,155","3,512,792","3,682,879","3,510,464","","3.52%"
"19-12-2023","3,511,555","3,545,625","3,603,824","3,477,002","","-0.90%"
"18-12-2023","3,543,419","3,435,829","3,552,457","3,368,595","","3.09%"
"17-12-2023","3,437,146","3,511,552","3,521,538","3,428,185","","-2.12%"
"16-12-2023","3,511,552","3,482,582","3,546,179","3,464,995","","0.84%"
"15-12-2023","3,482,139","3,583,722","3,588,792","3,462,633","","-2.82%"
"14-12-2023","3,583,189","3,570,999","3,614,000","3,454,568","","0.33%"
"13-12-2023","3,571,399","3,461,125","3,613,191","3,388,577","","3.29%"
"12-12-2023","3,457,551","3,438,734","3,508,320","3,394,242","","0.54%"
"11-12-2023","3,439,109","3,653,373","3,654,623","3,361,030","","-5.84%"
"10-12-2023","3,652,266","3,647,094","3,674,827","3,636,360","","0.17%"
"09-12-2023","3,646,088","3,685,256","3,700,797","3,638,715","","-1.03%"
"08-12-2023","3,684,079","3,607,978","3,727,875","3,594,524","","2.12%"
"07-12-2023","3,607,677","3,647,323","3,671,668","3,571,594","","-0.98%"
"06-12-2023","3,643,424","3,671,938","3,690,760","3,622,697","","-0.76%"
"05-12-2023","3,671,399","3,502,162","3,709,218","3,454,927","","4.81%"
"04-12-2023","3,502,787","3,326,091","3,538,635","3,326,091","","5.32%"
"03-12-2023","3,325,924","3,278,266","3,343,649","3,270,270","","1.16%"
"02-12-2023","3,287,890","3,220,569","3,302,283","3,217,165","","2.09%"
"01-12-2023","3,220,569","3,143,445","3,243,077","3,133,942","","2.47%"
"30-11-2023","3,142,876","3,154,170","3,177,568","3,127,507","","-0.36%"
"29-11-2023","3,154,135","3,154,603","3,194,375","3,133,878","","-0.01%"
"28-11-2023","3,154,603","3,104,874","3,197,723","3,074,934","","1.57%"
"27-11-2023","3,105,869","3,119,553","3,130,744","3,063,192","","-0.52%"
"26-11-2023","3,121,953","3,148,481","3,151,311","3,097,591","","-0.84%"
"25-11-2023","3,148,481","3,142,515","3,156,816","3,132,841","","0.19%"
"24-11-2023","3,142,515","3,108,263","3,199,023","3,105,519","","1.11%"
"23-11-2023","3,108,038","3,126,478","3,136,777","3,075,177","","-0.58%"
"22-11-2023","3,126,220","2,974,016","3,153,281","2,974,016","","4.78%"
"21-11-2023","2,983,520","3,120,063","3,134,683","2,983,520","","-4.40%"
"20-11-2023","3,120,733","3,113,245","3,144,756","3,070,891","","0.26%"
"19-11-2023","3,112,601","3,044,437","3,123,334","3,029,950","","2.24%"
"18-11-2023","3,044,357","3,048,594","3,067,730","3,015,464","","-0.03%"
"17-11-2023","3,045,372","3,005,860","3,054,429","2,988,190","","1.34%"
"16-11-2023","3,005,029","3,147,033","3,151,935","2,958,971","","-4.58%"
"15-11-2023","3,149,312","2,951,578","3,156,848","2,937,523","","6.74%"
"14-11-2023","2,950,421","3,034,169","3,057,248","2,904,071","","-2.78%"
"13-11-2023","3,034,647","3,087,412","3,119,658","3,028,967","","-1.67%"
"12-11-2023","3,086,184","3,093,934","3,099,316","3,061,781","","-0.25%"
"11-11-2023","3,093,934","3,106,693","3,114,575","3,062,254","","-0.44%"
"10-11-2023","3,107,749","3,057,353","3,121,639","3,034,060","","1.64%"
"09-11-2023","3,057,526","2,964,860","3,158,906","2,960,794","","3.04%"
"08-11-2023","2,967,326","2,946,689","3,000,072","2,926,983","","0.65%"
"07-11-2023","2,948,199","2,916,403","2,984,205","2,875,571","","1.14%"
"06-11-2023","2,914,923","2,911,545","2,935,151","2,889,712","","0.10%"
"05-11-2023","2,912,129","2,914,618","2,934,938","2,871,776","","-0.07%"
"04-11-2023","2,914,146","2,886,124","2,928,667","2,876,196","","0.99%"
"03-11-2023","2,885,473","2,908,517","2,908,517","2,841,855","","-0.78%"
"02-11-2023","2,908,098","2,948,968","2,987,313","2,861,403","","-3.02%"
"01-11-2023","2,998,696","2,884,977","3,018,071","2,842,819","","3.90%"
"31-10-2023","2,886,259","2,869,803","2,891,668","2,834,525","","0.56%"
"30-10-2023","2,870,096","2,879,709","2,901,938","2,837,888","","-0.33%"
"29-10-2023","2,879,709","2,842,801","2,897,465","2,830,623","","1.30%"
"28-10-2023","2,842,801","2,827,573","2,868,415","2,824,592","","0.53%"
"27-10-2023","2,827,693","2,844,244","2,850,671","2,784,335","","-0.57%"
"26-10-2023","2,843,814","2,867,800","2,897,156","2,810,645","","-0.84%"
"25-10-2023","2,867,857","2,815,083","2,920,372","2,749,366","","1.91%"
"24-10-2023","2,814,049","2,747,999","2,925,020","2,729,166","","2.46%"
"23-10-2023","2,746,503","2,494,719","2,842,793","2,485,659","","10.15%"
"22-10-2023","2,493,452","2,490,192","2,513,235","2,473,276","","0.14%"
"21-10-2023","2,489,986","2,470,148","2,519,030","2,453,141","","0.80%"
"20-10-2023","2,470,148","2,387,098","2,506,946","2,376,659","","3.52%"
"19-10-2023","2,386,121","2,358,175","2,399,407","2,345,659","","1.19%"
"18-10-2023","2,358,175","2,364,283","2,403,296","2,346,640","","-0.29%"
"17-10-2023","2,364,990","2,371,257","2,380,397","2,323,001","","-0.27%"
"16-10-2023","2,371,502","2,261,466","2,486,435","2,258,017","","4.88%"
"15-10-2023","2,261,111","2,240,161","2,272,282","2,236,838","","0.93%"
"14-10-2023","2,240,250","2,240,955","2,250,383","2,236,185","","-0.03%"
"13-10-2023","2,240,955","2,228,216","2,262,089","2,222,377","","0.57%"
"12-10-2023","2,228,244","2,236,783","2,240,700","2,212,982","","-0.39%"
"11-10-2023","2,237,031","2,280,243","2,285,684","2,209,342","","-1.89%"
"10-10-2023","2,280,164","2,296,392","2,307,895","2,271,157","","-0.72%"
"09-10-2023","2,296,624","2,320,472","2,328,771","2,272,421","","-1.05%"
"08-10-2023","2,321,103","2,323,648","2,335,146","2,303,324","","-0.10%"
"07-10-2023","2,323,376","2,321,523","2,328,757","2,315,165","","0.03%"
"06-10-2023","2,322,678","2,281,192","2,346,912","2,264,423","","1.82%"
"05-10-2023","2,281,202","2,318,122","2,348,099","2,278,032","","-1.63%"
"04-10-2023","2,318,969","2,281,569","2,321,729","2,267,361","","1.59%"
"03-10-2023","2,282,748","2,292,203","2,301,815","2,263,954","","-0.44%"
"02-10-2023","2,292,898","2,322,279","2,375,707","2,275,154","","-1.33%"
"01-10-2023","2,323,850","2,242,950","2,327,736","2,242,245","","3.60%"
"30-09-2023","2,243,134","2,238,325","2,252,923","2,236,607","","0.21%"
"29-09-2023","2,238,542","2,248,642","2,261,427","2,220,309","","-0.42%"
"28-09-2023","2,248,009","2,195,187","2,270,020","2,192,396","","2.42%"
"27-09-2023","2,194,937","2,184,239","2,233,455","2,174,739","","0.49%"
"26-09-2023","2,184,239","2,184,292","2,196,400","2,173,213","","0.01%"
"25-09-2023","2,184,112","2,175,814","2,195,403","2,160,830","","0.27%"
"24-09-2023","2,178,309","2,208,722","2,221,112","2,173,807","","-1.38%"
"23-09-2023","2,208,722","2,209,114","2,213,446","2,203,658","","-0.02%"
"22-09-2023","2,209,198","2,202,307","2,215,306","2,191,860","","0.31%"
"21-09-2023","2,202,350","2,253,742","2,258,004","2,193,963","","-2.28%"
"20-09-2023","2,253,757","2,263,738","2,278,604","2,229,996","","-0.43%"
"19-09-2023","2,263,569","2,227,820","2,288,491","2,218,630","","1.65%"
"18-09-2023","2,226,762","2,204,220","2,283,587","2,193,678","","1.03%"
"17-09-2023","2,204,108","2,207,389","2,211,839","2,193,997","","-0.15%"
"16-09-2023","2,207,389","2,210,740","2,224,628","2,199,343","","-0.15%"
"15-09-2023","2,210,740","2,202,090","2,230,370","2,180,723","","0.36%"
"14-09-2023","2,202,739","2,175,428","2,223,304","2,169,140","","1.29%"
"13-09-2023","2,174,774","2,140,890","2,188,946","2,135,061","","1.60%"
"12-09-2023","2,140,454","2,086,771","2,192,387","2,083,403","","2.53%"
"11-09-2023","2,087,599","2,145,669","2,148,371","2,066,010","","-2.71%"
"10-09-2023","2,145,669","2,151,000","2,160,660","2,127,738","","-0.25%"
"09-09-2023","2,151,000","2,151,738","2,152,338","2,143,973","","-0.03%"
"08-09-2023","2,151,738","2,185,834","2,195,429","2,134,029","","-1.52%"
"07-09-2023","2,184,942","2,144,910","2,198,988","2,132,609","","1.88%"
"06-09-2023","2,144,712","2,143,307","2,166,385","2,114,727","","0.09%"
"05-09-2023","2,142,840","2,136,711","2,148,033","2,118,778","","0.29%"
"04-09-2023","2,136,711","2,147,747","2,157,733","2,124,520","","-0.51%"
"03-09-2023","2,147,747","2,138,931","2,157,329","2,134,645","","0.43%"
"02-09-2023","2,138,557","2,133,601","2,147,667","2,129,494","","0.24%"
"01-09-2023","2,133,394","2,144,609","2,162,114","2,097,185","","-0.52%"
"31-08-2023","2,144,609","2,257,728","2,272,598","2,126,805","","-4.97%"
"30-08-2023","2,256,787","2,286,850","2,292,261","2,232,520","","-1.33%"
"29-08-2023","2,287,298","2,160,252","2,316,268","2,144,436","","5.88%"
"28-08-2023","2,160,332","2,157,692","2,166,405","2,138,911","","0.12%"
"27-08-2023","2,157,692","2,147,767","2,160,950","2,143,738","","0.46%"
"26-08-2023","2,147,800","2,151,241","2,156,194","2,146,036","","-0.16%"
"25-08-2023","2,151,241","2,163,562","2,167,466","2,133,780","","-0.56%"
"24-08-2023","2,163,393","2,182,323","2,191,585","2,142,927","","-0.84%"
"23-08-2023","2,181,786","2,165,394","2,213,482","2,134,318","","0.83%"
"22-08-2023","2,163,833","2,171,798","2,173,263","2,116,282","","-0.35%"
"21-08-2023","2,171,507","2,178,158","2,179,284","2,148,525","","-0.31%"
"20-08-2023","2,178,158","2,170,397","2,184,368","2,161,914","","0.36%"
"19-08-2023","2,170,397","2,166,571","2,184,200","2,145,541","","0.19%"
"18-08-2023","2,166,240","2,213,192","2,226,970","2,137,086","","-2.26%"
"17-08-2023","2,216,239","2,390,924","2,395,045","2,102,318","","-7.32%"
"16-08-2023","2,391,365","2,429,113","2,484,741","2,390,872","","-1.56%"
"15-08-2023","2,429,279","2,449,644","2,458,358","2,426,251","","-0.83%"
"14-08-2023","2,449,644","2,429,218","2,481,655","2,414,421","","0.84%"
"13-08-2023","2,429,218","2,441,218","2,444,737","2,428,473","","-0.49%"
"12-08-2023","2,441,218","2,440,874","2,445,462","2,437,191","","0.01%"
"11-08-2023","2,440,874","2,438,942","2,448,758","2,426,728","","0.08%"
"10-08-2023","2,438,942","2,451,357","2,457,275","2,430,337","","-0.49%"
"09-08-2023","2,450,959","2,466,555","2,493,588","2,435,262","","-0.66%"
"08-08-2023","2,467,244","2,417,185","2,509,478","2,414,525","","2.06%"
"07-08-2023","2,417,346","2,405,483","2,425,090","2,381,171","","0.49%"
"06-08-2023","2,405,483","2,405,014","2,414,780","2,398,377","","0.02%"
"05-08-2023","2,405,108","2,408,478","2,411,345","2,398,220","","-0.14%"
"04-08-2023","2,408,478","2,416,731","2,425,016","2,389,930","","-0.34%"
"03-08-2023","2,416,783","2,414,663","2,436,305","2,399,447","","0.12%"
"02-08-2023","2,413,836","2,446,015","2,470,559","2,397,442","","-1.24%"
"01-08-2023","2,444,042","2,403,872","2,445,170","2,356,922","","1.67%"
"31-07-2023","2,403,872","2,408,459","2,426,473","2,395,058","","-0.19%"
"30-07-2023","2,408,370","2,414,351","2,421,966","2,389,602","","-0.25%"
"29-07-2023","2,414,441","2,411,163","2,417,987","2,406,395","","0.14%"
"28-07-2023","2,411,163","2,407,212","2,429,032","2,395,957","","0.16%"
"27-07-2023","2,407,300","2,406,149","2,422,877","2,392,074","","0.05%"
"26-07-2023","2,406,149","2,395,440","2,435,631","2,383,416","","0.43%"
"25-07-2023","2,395,881","2,387,060","2,403,927","2,376,238","","0.37%"
"24-07-2023","2,387,060","2,466,583","2,467,750","2,363,109","","-3.25%"
"23-07-2023","2,467,334","2,442,766","2,488,064","2,438,279","","1.02%"
"22-07-2023","2,442,378","2,452,032","2,459,107","2,431,801","","-0.39%"
"21-07-2023","2,451,891","2,446,063","2,465,179","2,438,280","","0.25%"
"20-07-2023","2,445,735","2,454,407","2,492,753","2,431,126","","-0.34%"
"19-07-2023","2,454,138","2,450,586","2,477,970","2,444,689","","0.16%"
"18-07-2023","2,450,282","2,473,181","2,480,610","2,432,508","","-0.93%"
"17-07-2023","2,473,181","2,480,698","2,491,380","2,436,445","","-0.30%"
"16-07-2023","2,480,695","2,489,664","2,501,374","2,471,662","","-0.34%"
"15-07-2023","2,489,263","2,491,593","2,497,996","2,485,674","","-0.09%"
"14-07-2023","2,491,529","2,580,678","2,590,116","2,458,585","","-3.49%"
"13-07-2023","2,581,527","2,491,869","2,602,782","2,481,774","","3.55%"
"12-07-2023","2,492,915","2,523,905","2,544,651","2,478,876","","-1.20%"
"11-07-2023","2,523,265","2,509,732","2,536,371","2,500,138","","0.54%"
"10-07-2023","2,509,732","2,492,240","2,559,310","2,475,820","","0.71%"
"09-07-2023","2,492,056","2,503,258","2,513,671","2,484,577","","-0.46%"
"08-07-2023","2,503,569","2,508,109","2,510,572","2,483,915","","-0.18%"
"07-07-2023","2,508,109","2,475,688","2,514,949","2,462,762","","1.28%"
"06-07-2023","2,476,390","2,513,137","2,596,202","2,472,215","","-1.50%"
"05-07-2023","2,514,076","2,523,080","2,534,881","2,486,249","","-0.36%"
"04-07-2023","2,523,080","2,552,664","2,565,591","2,514,040","","-1.18%"
"03-07-2023","2,553,121","2,513,552","2,571,047","2,506,330","","1.57%"
"02-07-2023","2,513,552","2,511,044","2,526,108","2,481,445","","0.10%"
"01-07-2023","2,511,044","2,501,858","2,516,138","2,490,036","","0.38%"
"30-06-2023","2,501,488","2,498,875","2,565,745","2,438,772","","0.11%"
"29-06-2023","2,498,713","2,467,151","2,530,360","2,465,676","","1.27%"
"28-06-2023","2,467,277","2,516,740","2,517,274","2,455,393","","-1.93%"
"27-06-2023","2,515,884","2,482,179","2,540,804","2,477,861","","1.37%"
"26-06-2023","2,481,933","2,497,706","2,512,617","2,459,999","","-0.62%"
"25-06-2023","2,497,482","2,502,172","2,543,315","2,484,572","","-0.19%"
"24-06-2023","2,502,287","2,513,832","2,523,481","2,480,555","","-0.45%"
"23-06-2023","2,513,482","2,448,370","2,574,460","2,445,078","","2.57%"
"22-06-2023","2,450,482","2,457,752","2,499,158","2,425,001","","-0.31%"
"21-06-2023","2,458,191","2,320,786","2,521,354","2,317,757","","5.89%"
"20-06-2023","2,321,500","2,201,211","2,327,902","2,187,620","","5.51%"
"19-06-2023","2,200,314","2,157,640","2,212,347","2,154,430","","1.98%"
"18-06-2023","2,157,615","2,171,920","2,185,337","2,153,215","","-0.66%"
"17-06-2023","2,171,920","2,157,833","2,194,117","2,144,791","","0.66%"
"16-06-2023","2,157,632","2,096,848","2,169,058","2,073,113","","2.90%"
"15-06-2023","2,096,848","2,060,056","2,107,907","2,042,972","","1.71%"
"14-06-2023","2,061,684","2,134,463","2,143,907","2,038,742","","-3.34%"
"13-06-2023","2,133,015","2,132,968","2,172,921","2,117,233","","0.02%"
"12-06-2023","2,132,598","2,137,433","2,149,854","2,116,282","","-0.23%"
"11-06-2023","2,137,433","2,129,889","2,158,240","2,114,915","","0.34%"
"10-06-2023","2,130,104","2,182,425","2,186,255","2,099,300","","-2.40%"
"09-06-2023","2,182,420","2,185,833","2,206,268","2,170,982","","-0.16%"
"08-06-2023","2,185,833","2,176,113","2,209,947","2,166,697","","0.43%"
"07-06-2023","2,176,566","2,246,762","2,255,190","2,159,489","","-3.12%"
"06-06-2023","2,246,715","2,122,677","2,254,471","2,099,933","","5.74%"
"05-06-2023","2,124,679","2,235,043","2,235,239","2,099,277","","-4.93%"
"04-06-2023","2,234,961","2,230,722","2,258,721","2,221,279","","0.17%"
"03-06-2023","2,231,197","2,245,009","2,251,071","2,220,485","","-0.60%"
"02-06-2023","2,244,662","2,206,498","2,249,530","2,185,427","","1.76%"
"01-06-2023","2,205,922","2,249,400","2,260,014","2,196,695","","-1.95%"
"31-05-2023","2,249,800","2,290,003","2,299,750","2,222,497","","-1.76%"
"30-05-2023","2,290,003","2,290,153","2,317,744","2,280,720","","-0.02%"
"29-05-2023","2,290,497","2,319,236","2,347,655","2,275,689","","-1.24%"
"28-05-2023","2,319,146","2,217,022","2,326,740","2,211,468","","4.61%"
"27-05-2023","2,217,041","2,205,207","2,219,321","2,195,744","","0.54%"
"26-05-2023","2,205,210","2,190,504","2,222,034","2,177,461","","0.67%"
"25-05-2023","2,190,504","2,177,630","2,199,267","2,141,847","","0.58%"
"24-05-2023","2,177,858","2,256,256","2,256,256","2,158,333","","-3.47%"
"23-05-2023","2,256,256","2,223,869","2,273,002","2,220,030","","1.48%"
"22-05-2023","2,223,457","2,217,231","2,240,198","2,198,811","","0.26%"
"21-05-2023","2,217,697","2,246,119","2,257,996","2,211,822","","-1.28%"
"20-05-2023","2,246,419","2,226,729","2,248,519","2,222,494","","0.88%"
"19-05-2023","2,226,729","2,218,800","2,248,861","2,214,523","","0.33%"
"18-05-2023","2,219,296","2,259,326","2,267,597","2,189,584","","-1.76%"
"17-05-2023","2,258,976","2,224,785","2,264,653","2,190,144","","1.54%"
"16-05-2023","2,224,785","2,234,480","2,244,554","2,210,502","","-0.53%"
"15-05-2023","2,236,688","2,212,643","2,273,246","2,199,020","","1.09%"
"14-05-2023","2,212,556","2,202,436","2,235,262","2,192,185","","0.48%"
"13-05-2023","2,201,988","2,204,136","2,221,582","2,195,589","","-0.07%"
"12-05-2023","2,203,479","2,214,383","2,220,148","2,125,585","","-0.54%"
"11-05-2023","2,215,340","2,260,896","2,266,668","2,198,235","","-2.01%"
"10-05-2023","2,260,798","2,268,704","2,318,772","2,203,295","","-0.36%"
"09-05-2023","2,268,946","2,262,316","2,283,142","2,246,908","","0.28%"
"08-05-2023","2,262,612","2,322,819","2,339,117","2,232,759","","-2.57%"
