ObjectID,X,Y,Name,Street_Address,City_1,State_1,Zip_1,Phone_Number
58,13478391.476307,304258.769966,Tommy’s Detroit Bar & Grill,624 3rd St,Detroit,MI,48226,(313) 965-2269
59,13480859.049564,307287.797558,Basement Burger Bar,1326 Brush St,Detroit,MI,48226,(313) 818-3708
60,13482358.9376,304876.434603,Andiamo Detroit Riverfront,400 Renaissance Ctr,Detroit,MI,48243,(313) 567-6700
61,13480208.551409,307321.347206,Jose’s Tacos,218 E Grand River,Detroit,MI,48226,(313) 965-9992
62,13481599.043195,305899.281391,Sweetwater Tavern,400 E Congress St,Detroit,MI,48226,(313) 962-2210
63,13481691.732629,306958.662238,Prism,555 E Lafayette St,Detroit,MI,48226,(313) 309-2499
64,13480184.027979,307277.011861,Chubby Duck Detroit,208 E Grand River Ave,Detroit,MI,48226,(313) 400-5414
65,13481580.829575,307305.003321,PizzaPapalis of Greektown,553 Monroe St,Detroit,MI,48226,(313) 961-8020
66,13481703.0222,307172.457049,Pegasus Taverna,558 Monroe St,Detroit,MI,48226,(313) 964-6800
67,13472839.718733,301097.649526,Johnny Noodle King,2601 W Fort,Detroit,MI,48216,
68,13472351.63746,305743.860959,Slows Bar BQ,2138 Michigan Ave,Detroit,MI,48216,
69,13480579.568781,305509.67549,Grand Trunk Pub,612 Woodward Ave,Detroit,MI,48226,(313) 961-3043
70,13482250.343834,310668.014802,Stache International,1416 E Fisher Fwy,Detroit,MI,48207,
71,13480252.121642,306290.086445,Calexico - Detroit,1040 Woodward Ave,Detroit,MI,48226,(313) 262-6361
72,13479781.008549,304901.476523,Blue Star Cafe,239 W Congress St,Detroit,MI,48226,(313) 222-5893
73,13474825.2723097,308646.650590554,Iridescence,2901 Grand River Ave,Detroit,MI,48218,
74,13480312.325903,304694.9037,The District Bar & Grill,150 W Jefferson,Detroit,MI,48226,(313) 285-8992
75,13481927.400825,304977.712656,Granite City Food & Brewery,100 Renaissance Ctr,Detroit,MI,48243,(313) 309-9120
76,13480983.547967,305708.805812,Checker Bar,124 Cadillac Sq,Detroit,MI,48226,(313) 961-9249
77,13476639.08572,303471.046488,Sheeba Express,1366 W Fort St,Detroit,MI,48226,
79,13481632.474465,307336.152007,Wahlburgers,569 Monroe St,Detroit,MI,48226,(313) 209-4499
80,13481382.750894,307172.755883,Santorini Estiatorio,501 Monroe St,Detroit,MI,48226,(313) 962-9366
81,13478628.30932,304966.074657,Motor City Kitchen,525 W Lafayette Blvd,Detroit,MI,48226,(313) 963-5600
82,13479656.088779,307366.790767,Small Plates,1521 Broadway,Detroit,MI,48226,(313) 963-0702
83,13478636.583434,307639.772771,Cliff Bell’s,2030 Park Ave,Detroit,MI,48226,(313) 961-2543
84,13475795.337961,312561.756966,La Feria,4130 Cass Ave,Detroit,MI,48201,(313) 285-9081
85,13472574.983038,305661.177284,Gold Cash Gold,2100 Michigan Ave,Detroit,MI,48216,
86,13471964.613763,303529.280205,Huron Room,2547 Bagley St,Detroit,MI,48216,
87,13479618.676007,306264.364659,Go! Sy Thai,1226 Griswold St,Detroit,MI,48226,(313) 638-1467
88,13479771.832415,305876.32265,24grille,204 Michigan Ave,Detroit,MI,48226,(313) 964-3821
89,13480998.141389,305779.878832,POP + Offworld,128 Cadillac Square,Detroit,MI,48226,(313) 961-9249
90,13472208.839271,303498.25246,Honey Bee La Colmena,2443 Bagley St,Detroit,MI,48216,
91,13478926.108302,307796.057675,Brass Rail Pizza Bar,18 W Adams Ave,Detroit,MI,48226,(313) 964-0782
92,13478237.002516,309062.731764,Sports & Social Detroit,28 Henry St,Detroit,MI,48201,(313) 782-4778
93,13481238.654366,306896.804852,Fishbone’s,400 Monroe St,Detroit,MI,48226,(313) 965-4600
94,13472305.550885,305564.388833,Mercury Burger Bar,2163 Michigan Ave,Detroit,MI,48216,
95,13474569.857056,311727.60484,Gus’s World Famous Fried Chicken,4101 3rd St,Detroit,MI,48201,(313) 818-0324
96,13480855.448837,306776.276102,Ham Shop Cafe,330 Monroe St,Detroit,MI,48226,(313) 965-0088
97,13479915.289841,305509.091809,Drought,719 Griswold St,Detroit,MI,48226,(313) 888-9950
98,13479626.50929,307382.289447,Detroit Beer Company,1529 Broadway,Detroit,MI,48226,(313) 962-1529
99,13477656.353115,310545.147291,Pho Lucky - Detroit,3111 Woodward Ave,Detroit,MI,48201,(313) 338-3895
100,13478624.654033,307657.066289,Bar,2040 Park Ave,Detroit,MI,48226,(313) 962-2933
101,13480340.842305,306840.587165,Punch Bowl Social Detroit,1331 Broadway St,Detroit,MI,48226,(313) 749-9738
102,13479794.186152,305803.51664,American Coney Island,114 W Lafayette Blvd,Detroit,MI,48226,(313) 961-7758
103,13479534.163988,307070.485367,Chickpea In the D,2 John R,Detroit,MI,48226,(313) 970-7618
104,13476267.278982,313234.272825,HopCat,4265 Woodward Ave,Detroit,MI,48201,(313) 769-8828
105,13475013.509134,312819.508365,Jolly Pumpkin Pizzeria and Brewery,441 W Canfield,Detroit,MI,48201,(313) 262-6115
106,13481648.831402,307266.72971,Red Smoke Barbecue,573 Monroe St,Detroit,MI,48226,(313) 962-2100
107,13475769.589907,305827.137755,PJ’s Lager House,1254 Michigan Ave,Detroit,MI,48226,(313) 961-4668
108,13482193.8083989,305140.640748039,Sweet Lorraine’s Fabulous Mac n’ Cheez!,Renaissance Ctr,Detroit,MI,48243,(313) 656-4838
109,13475495.603551,311681.623167,Honest John’s Bar & Grill,488 Selden St,Detroit,MI,48201,(313) 832-5646
110,13476498.691192,310405.139711,The Peterboro,420 Peterboro St,Detroit,MI,48201,(313) 833-1111
111,13482004.001191,310951.106338,Russell St Deli,2465 Russell St,Detroit,MI,48207,(313) 567-2900
112,13480047.988709,308036.263062,Grill Room at Detroit Athletic Club,241 Madison Ave,Detroit,MI,48226,(313) 963-9200
113,13480316.47006,306763.594835,7 Greens Detroit Salad,1222 Library St,Detroit,MI,48226,(313) 964-9005
114,13482629.386269,310533.355074,Trinosophes,1464 Gratiot,Detroit,MI,48207,
115,13480793.975248,306912.466302,Giordano’s - Detroit,1224 Randolph St,Detroit,MI,48226,(313) 752-0441
117,13482358.9376,304876.434603,Volt Lounge,400 Renaissance Dr,Detroit,MI,48243,(313) 568-8000
118,13480009.853664,306030.27627,Bellacino’s,1001 Woodward Ave,Detroit,MI,48226,(313) 963-3000
119,13475505.753642,312639.341703,Avalon International Breads,422 W Willis St,Detroit,MI,48201,(313) 832-0008
120,13474911.51515,313144.636043,Motor City Brewing Works,470 W Canfield St,Detroit,MI,48201,(313) 832-2700
121,13479199.153648,304673.043033,Cobo Joe’s Bar,422 W Congress St,Detroit,MI,48226,(313) 965-0840
122,13479278.252638,307469.712538,Broderick Grille,1570 Woodward Ave,Detroit,MI,48226,(313) 672-2073
123,13481457.01053,307229.178303,Golden Fleece Restaurant,525 Monroe St,Detroit,MI,48226,(313) 962-7093
124,13471115.063256,313863.77075,Pie Sci,5163 Trumbull Ave,Detroit,MI,48208,(313) 818-0290
125,13481639.928786,306392.421226,Detroiter Bar,655 Beaubien St,Detroit,MI,48226,(313) 963-3355
126,13469780.467656,302502.975977,Taqueria Lupita’s,3443 Bagley St,Detroit,MI,48216,(313) 843-1105
127,13481632.39162,306497.149798,Niki’s Pizza,735 Beaubien St,Detroit,MI,48226,(313) 961-4303
128,13478256.058685,308136.503461,Centaur Bar,2233 Park Ave,Detroit,MI,48201,(313) 963-4040
129,13471268.65635,303789.44403,Tamaleria Nuevo Leon,2669 Vernor Hwy,Detroit,MI,48216,
130,13476694.426211,312406.510622,The Block,3919 Woodward Ave,Detroit,MI,48201,(313) 832-0892
131,13487275.175519,308452.799638,Bucharest Grill,2684 E Jefferson,Detroit,MI,48207,
132,13480173.685596,305164.961999,Greenroom Salads,120 W Congress St,Detroit,MI,48226,(313) 963-9565
133,13480519.842655,305685.004631,Lunchtime Global,660 Woodward Ave,Detroit,MI,48226,(313) 963-4871
134,13480906.929449,306001.294449,Cadillac Square Diner,111 Cadillac Sq,Detroit,MI,48226,(313) 974-6923
135,13478256.058685,308136.503461,Hot Taco,2233 Park Ave,Detroit,MI,48201,(313) 963-4545
136,13487979.415572,307742.899541,Andrews On the Corner,201 Joseph Campau St,Detroit,MI,48207,
137,13475531.715426,313004.819837,Go! Sy Thai,4240 Cass Ave,Detroit,MI,48201,(313) 638-1467
138,13474844.009165,305799.7938,McShane’s Irish Pub & Whiskey Bar,1460 Michigan Ave,Detroit,MI,48216,(313) 961-1960
139,13481043.701362,307453.371269,Harbor House,440 Clinton St,Detroit,MI,48226,(313) 967-9900
140,13480555.54252,305549.925263,Bangkok Crossing,620 Woodward Ave,Detroit,MI,48226,(313) 961-3861
141,13479019.418326,306651.461304,Bam Bamz Pizza,1411 Washington Blvd,Detroit,MI,48226,(313) 964-4100
142,13475827.191132,313499.993015,The Ghost Bar,4421 Woodward Ave,Detroit,MI,48201,(313) 832-5700
143,13474661.892039,305586.833181,Onassis Coney Island,1501 Michigan Ave,Detroit,MI,48216,(313) 222-9999
144,13474688.13603,313285.577646,The Bronx Bar,4476 2nd Ave,Detroit,MI,48201,(313) 832-8464
145,13478319.795734,309260.551587,Mike’s Pizza Bar,2515 Woodward Ave,Detroit,MI,48201,(313) 782-4589
146,13482241.027919,311168.897589,Eastern Market Seafood Co,2456 Market St,Detroit,MI,48207,(313) 567-8359
147,13466199.777084,301058.501123,Taqueria El Rey,4750 Vernor Hwy,Detroit,MI,48209,(313) 357-3094
148,13477619.606921,308623.248246,Harry’s Detroit,2482 Clifford St,Detroit,MI,48201,(313) 964-1575
149,13480435.926227,307316.014404,Detroit Seafood Market,1435 Randolph St,Detroit,MI,48226,(313) 962-4180
150,13480502.497561,306605.625999,Orchid Thai Restaurant,115 Monroe St,Detroit,MI,48226,(313) 962-0225
151,13487678.717263,308383.40146,They Say,267 Joseph Campau St,Detroit,MI,48207,
152,13474294.712682,305609.467002,Bucharest Grill,1623 Michigan Ave,Detroit,MI,48216,(313) 965-3111
153,13488134.35024,307933.399281,Rattlesnake Club,300 River Pl Dr,Detroit,MI,48207,
154,13476453.119892,313680.84509,La Palma,113 E Canfield St,Detroit,MI,48201,(313) 833-5000
155,13479222.213467,305754.952155,Big City Bar & Grill,1020 Washington Blvd,Detroit,MI,48226,(313) 963-8808
156,13478005.288559,303072.413878,Signature Grill,250 Riverfront Dr,Detroit,MI,48226,
157,13476552.563206,306423.380438,MGM Grand Detroit,1777 3rd St,Detroit,MI,48226,(877) 888-2121
158,13482589.76977,312003.93799,Cutter’s Bar & Grill,2638 Orleans St,Detroit,MI,48207,(313) 393-0960
159,13470063.787723,302720.018989,Los Galanes,3362 Bagley St,Detroit,MI,48216,(313) 554-4444
160,13479044.471764,306198.278191,State Deli & Grocery,1200 Washington Blvd,Detroit,MI,48226,(313) 963-5141
161,13482442.400055,305317.026687,Gourmet Deli,500 Renaissance Ctr,Detroit,MI,48243,(313) 396-5543
162,13479299.166425,306025.920922,WBC Coffee,1114 Washington Blvd,Detroit,MI,48226,(313) 442-1600
163,13480424.554,305121.464571,Guardian Cafe,500 Griswold St,Detroit,MI,48226,(313) 962-7027
164,13480432.493425,306185.114184,Hard Rock Cafe,45 Monroe Street,Detroit,MI,48226,(313) 964-7625
165,13480738.49511,305996.522005,Asiago’s Pizza,65 Cadillac Sq,Detroit,MI,48226,(313) 262-6131
166,13478818.415122,308307.690312,Da Edoardo Foxtown Grille,2203 Woodward Ave,Detroit,MI,48201,(313) 471-3500
167,13476447.012474,312887.833408,Union Street,4145 Woodward Ave,Detroit,MI,48201,(313) 831-3965
168,13476113.551763,313841.19288,Café 78,4454 Woodward Ave,Detroit,MI,48201,(313) 832-6622
169,13481952.069818,306982.76002,Floods Bar & Grille,731 St Antoine St,Detroit,MI,48226,(313) 963-1090
170,13481996.521819,310965.287782,Zeff’s Coney Island Restaurant,2469 Russell St,Detroit,MI,48207,(313) 259-4705
171,13469769.841878,302643.742095,Evie’s Tamales,3454 Bagley St,Detroit,MI,48216,(313) 843-5056
172,13483777.29243,308068.856562,Bai Mai Thai,1541 E Lafayette St,Detroit,MI,48207,
173,13475176.051653,314869.554934,The Potato Place,107 W Warren Ave,Detroit,MI,48201,(313) 833-8948
174,13476436.14722,312951.803411,Zef’s Midtown,4160 Woodward Ave,Detroit,MI,48201,(313) 831-1210
175,13481826.901012,311117.475266,Beyond Juicery + Eatery,2501 Russell St,Detroit,MI,48207,(313) 818-3502
176,13481543.711838,307282.557702,New Parthenon Restaurant,547 Monroe St,Detroit,MI,48226,(313) 963-8888
177,13469966.914296,302656.044613,Xochimilco Restaurant,3409 Bagley St,Detroit,MI,48216,(313) 843-0179
178,13475210.096188,315468.92438,Kresge Court at Detroit Institute of Arts,5200 Woodward Ave,Detroit,MI,48202,(313) 833-7900
179,13473246.995267,307137.471842,Nancy Whiskey,2644 Harrison St,Detroit,MI,48216,
180,13480081.118601,305349.726767,Which Wich Superior Sandwiches,645 Griswold,Detroit,MI,48226,(313) 444-1441
181,13482322.912197,311168.673811,Vivio’s Food & Spirits,2460 Market St,Detroit,MI,48207,(313) 393-1711
182,13475827.191132,313499.993015,The Whitney,4421 Woodward Ave,Detroit,MI,48201,(313) 832-5700
183,13474772.880292,313192.515623,Fresh Corner Café,4444 Second Ave,Detroit,MI,48201,(313) 444-5027
184,13482142.835908,311358.069427,Farmers Restaurant,2542 Market St,Detroit,MI,48207,(313) 259-8230
185,13481662.696129,305525.331853,Rice Bowl Fresh Asian Kitchen,"333 E Jefferson, Ste 270",Detroit,MI,48226,(313) 963-3200
186,13481612.263107,307323.843857,Monroe Street Steakhouse,561 Monroe St,Detroit,MI,48226,(313) 961-3636
187,13481463.058424,312220.73513,People’s Pierogi Collective,2934 Russell St,Detroit,MI,48207,
188,13480910.613374,313452.393194,Milano Bakery,3500 Russell St,Detroit,MI,48207,(313) 833-8144
189,13481160.073716,312771.052735,Sala Thai,3400 Russell St,Detroit,MI,48207,(313) 831-1302
191,13481486.409447,311598.415039,Bert’s Marketplace,2727 Russell St,Detroit,MI,48207,(313) 567-2030
192,13475113.499021,313948.662521,Midtown Shangri-La,4710 Cass Ave,Detroit,MI,48201,(313) 974-7669
193,13481457.01053,307229.178303,Eat-N-Out Pizza & Gelato,531 Monroe Ave,Detroit,MI,48226,(313) 800-5718
194,13482018.959935,310922.743451,Schnäck,2457 Russel St,Detroit,MI,48207,
195,13475338.994896,305724.030951,Nemo’s Bar,1384 Michigan Ave,Detroit,MI,48226,(313) 965-3180
196,13476101.042695,314309.753293,Seva Detroit,66 E Forest Ave,Detroit,MI,48201,(313) 974-6661
197,13479337.026124,305074.761746,Gateway Deli Cafe,333 West Fort,Detroit,MI,48226,(313) 256-1900
199,13474935.570659,312791.850316,Traffic Jam & Snug,511 W Canfield St,Detroit,MI,48201,(313) 831-9470
200,13471921.207006,303467.03002,Social Sushi Detroit,2545 Bagley Ave,Detroit,MI,48216,
201,13480502.497561,306605.625999,Mr. Kabob Grille & Catering,119 Monroe St,Detroit,MI,48226,(313) 496-6666
202,13474550.515937,308622.411511,Assembly Line Buffet,2901 Grand River Ave,Detroit,MI,48201,
203,13475052.653856,314375.995274,Blimpie,108 W Hancock St,Detroit,MI,48201,(313) 831-0711
204,13478272.308901,304662.120965,Press Room,615 W Lafayette,Detroit,MI,48226,(313) 373-8670
205,13474550.515937,308622.411511,The Lodge Diner,2901 Grand River Ave,Detroit,MI,48201,
206,13481289.969902,313732.324441,Louie’s Ham And Corned Beef,3570 Riopelle St,Detroit,MI,48207,(313) 831-1800
207,13480081.118601,305349.726767,Carnival Fresh Mex,645 Griswold St,Detroit,MI,48226,(313) 223-1400
208,13480975.48962,306939.396976,The Old Shillelagh,349 Monroe St,Detroit,MI,48226,(313) 964-0007
209,13475653.768171,312308.046822,Slows To Go,4107 Cass Ave,Detroit,MI,48201,(313) 309-7560
210,13478225.88525,308214.197462,The Town Pump Tavern,100 W Montcalm St,Detroit,MI,48201,(313) 961-1929
211,13480009.853664,306030.27627,Freshii,1001 Woodward,Detroit,MI,48226,(313) 237-0700
212,13482428.71091,305941.400467,Nathan’s Deli,581 E Jefferson Ave,Detroit,MI,48226,(313) 962-3354
213,13479915.289841,305509.091809,Mike’s Kabob Grille,719 Griswold St,Detroit,MI,48226,(313) 662-9927
215,13490709.855046,310622.221975,Le Petit Dejeuner,6470 E Jefferson,Detroit,MI,48207,
216,13475516.72855,312644.225659,Alley Taco,418 W Willis,Detroit,MI,48201,(313) 818-0067
217,13480736.673331,306837.667362,The Baltimore,1234 Randolph,Detroit,MI,48226,(313) 964-2728
218,13483759.968542,308058.449505,Urban Soul,1535 E Lafayette St,Detroit,MI,48207,
219,13473815.691761,313341.548406,Harmony Garden Cafe,4704 Anthony Wayne Dr,Detroit,MI,48201,(313) 638-2345
220,13473176.904048,305789.763147,White Castle,1930 Michigan Ave,Detroit,MI,48216,
221,13475220.908895,313758.539185,Cass Cafe,4620 Cass Ave,Detroit,MI,48201,(313) 831-1400
222,13466609.39159,300951.541273,Antojitos El Catracho,4627 W Vernor Hwy,Detroit,MI,48209,(313) 209-4815
223,13480187.450129,308385.71202,Elwood Bar & Grill,300 E Adams Ave,Detroit,MI,48226,(313) 962-2337
224,13479305.837419,308024.239758,Cheli’s Chili Bar,47 E Adams Ave,Detroit,MI,48226,(313) 961-1700
225,13480081.118601,305349.726767,Athens Souvlaki,645 Griswold St,Detroit,MI,48226,(313) 265-3178
226,13483399.447392,312366.367792,Louisiana Creole Gumbo,2051 Gratiot Ave,Detroit,MI,48207,(313) 446-9639
227,13481550.597738,307082.247302,Five Guys,508 Monroe St,Detroit,MI,48226,(313) 237-7777
228,13482090.3277559,304715.708989501,Potbelly Sandwich Shop,300 Ren Ctr,Detroit,MI,48243,(313) 566-0028
229,13478871.87818,307755.158097,Subway,28 W Adams Ave Lbby 2,Detroit,MI,48226,(313) 963-9166
230,13478586.060537,308508.573524,Hockeytown Cafe,2301 Woodward Ave,Detroit,MI,48201,(313) 965-9500
231,13481430.807231,307182.4788,Pappy’s Bar & Grill,517 Monroe St,Detroit,MI,48226,(313) 983-4000
232,13477482.14991,310882.6443,Top China One,3157 Woodward Ave,Detroit,MI,48201,(313) 832-1111
233,13480712.991069,307291.532618,Chrome Bar and Grille,351 Gratiot Ave,Detroit,MI,48226,(313) 967-0900
234,13473788.960137,316795.66249,Tony V’s Tavern,5756 Cass Ave,Detroit,MI,48202,(313) 833-5595
235,13480059.530063,305720.611667,Potbelly Sandwich Shop,777 Woodward Ave,Detroit,MI,48226,(313) 309-4197
236,13477345.490368,311147.493051,Detroit One Coney Island,3433 Woodward Ave,Detroit,MI,48201,(313) 832-7380
237,13484725.538301,312799.543705,Mr Fish,2629 E Vernor Hwy,Detroit,MI,48207,
238,13481488.828095,307248.195596,The Greek,535 Monroe Ave,Detroit,MI,48226,(313) 209-6667
239,13479929.936526,306157.56179,Slices,1043 Woodward Ave,Detroit,MI,48226,(313) 963-8800
240,13467340.056206,305657.47756,Mike’s Famous Ham Place,3700 Michigan Ave,Detroit,MI,48216,(313) 894-6922
241,13476507.041417,312814.449935,Sgt. Pepperoni’s,4120 Woodward Ave,Detroit,MI,48201,(313) 833-7272
242,13478524.227313,306624.208393,Nick’s Gaslight Restaurant & Lounge,441 Grand River Ave,Detroit,MI,48226,(313) 963-9191
243,13472751.074333,307148.345459,Pink FlaminGO! Mobile Restaurant,2737 - 2747 Rosa Parks,Detroit,MI,48216,
244,13482193.808239,305140.640818,Zoup!,200 Renaissance Ctr,Detroit,MI,48243,(313) 567-7500
245,13477847.710163,307738.652282,Bookies Bar & Grille,2208 Cass Ave,Detroit,MI,48201,(313) 962-0319
246,13474550.515937,308622.411511,MotorCity Casino Buffet,2901 Grand River Ave,Detroit,MI,48201,
247,13469217.436249,302788.841942,Sicily’s Pizzeria & Subs,3554 W Vernor Hwy,Detroit,MI,48216,(313) 554-0755
248,13480178.324881,305232.810153,Jimmy John’s,615 Griswold St,Detroit,MI,48226,(313) 963-1044
249,13482472.574669,311318.83985,Beau Bien Fine Foods,2478 Riopelle St,Detroit,MI,48207,(313) 800-1363
250,13476552.563206,306423.380438,Crunch at Breeze,1777 Third St,Detroit,MI,48226,(877) 888-2121
251,13484260.730482,306646.765916,Papa’s Pizza & BBQ,1404 Jefferson Ave,Detroit,MI,48207,
252,13476606.10283,303542.181072,Coney King Coney Island,1350 W Fort St,Detroit,MI,48226,
253,13476507.0413386,312814.449803144,The Alley Deck,4120 Woodward Ave,Detroit,MI,48218,(313) 833-9700
254,13479643.560636,308607.313395,Bacardi Champions Club,2100 Woodward Ave,Detroit,MI,48201,
255,13480081.118601,305349.726767,Drive Table Tennis Social Club,645 Griswold St,Detroit,MI,48226,(313) 962-1830
256,13475239.65508,315197.758218,Maccabees Traders,5057 Woodward Ave,Detroit,MI,48202,(313) 831-9311
257,13480520.652686,307237.152723,Centre Park Bar,1407 Randolph St,Detroit,MI,48226,(313) 962-4999
258,13479676.263426,307867.835456,Cadillac Cafe,140 Madison St,Detroit,MI,48226,(313) 237-3487
259,13467434.061781,305676.807675,Hygrade Deli,3640 Michigan Ave,Detroit,MI,48216,(313) 894-6620
261,13482193.808239,305140.640818,Bozii,200 Renaissance Ctr,Detroit,MI,48243,(313) 656-4917
262,13481488.828095,307248.195596,Level Two Bar & Rooftop,535 Monroe St,Detroit,MI,48226,(313) 420-1990
263,13480570.207008,305524.342521,Woodward Coney Restaurant,616 Woodward Ave,Detroit,MI,48226,(313) 961-9900
264,13480312.325903,304694.9037,Terrace Cafe,150 W Jefferson Ave,Detroit,MI,48226,(313) 237-1010
265,13478427.195247,306991.835365,Coaches Corner,220 Bagley Ave,Detroit,MI,48226,(313) 963-4000
266,13481378.114184,306664.409162,Loco’s Tex-Mex Grille,454 E Lafayette,Detroit,MI,48226,(313) 965-3737
267,13475074.72997,316309.055575,International Mini-Café,111 E Kirby,Detroit,MI,48202,(313) 377-2555
